hit,kapital,fix,angewandt,verausgabt,nachfrag,variabl,neu,jahrlich,verlieh,konstant,preis,erhalt,umschlag,produktiv,imm,erst,kostet,klass,zweit,war
75,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
79,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
80,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,153,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
84,79,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
85,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
86,24,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
87,45,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0
88,77,0,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0
89,125,0,0,0,0,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0
90,131,0,0,0,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0
91,137,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0
92,143,0,0,0,0,5,0,0,0,5,0,3,0,0,0,0,0,0,0,0
93,149,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,0,0,0,0
94,155,0,0,0,0,5,0,0,0,5,0,2,0,0,0,0,0,0,0,0
95,161,0,0,0,0,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0
96,167,0,0,0,0,5,6,0,0,5,0,0,0,3,0,0,0,0,0,0
97,173,0,0,0,0,5,12,0,0,5,0,0,0,4,0,0,0,0,0,0
98,89,0,0,0,0,2,6,0,0,2,0,0,0,2,0,0,0,0,0,0
99,95,0,0,0,0,4,6,0,0,4,0,0,0,1,0,0,0,0,0,0
100,101,0,0,0,0,5,6,0,0,5,0,0,0,0,0,0,0,0,0,0
101,53,0,0,0,0,2,3,0,0,16,0,0,0,0,0,0,0,0,0,0
102,29,0,0,0,0,12,1,0,0,22,0,0,0,0,0,0,0,0,0,0
103,35,0,0,0,0,9,0,0,0,28,0,0,0,0,0,0,0,0,0,0
104,41,0,0,0,0,7,0,0,0,34,0,0,0,0,0,0,0,0,0,0
105,23,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0
106,29,0,0,0,0,4,3,0,0,26,0,0,0,0,0,0,0,0,0,0
107,35,0,0,0,0,5,4,0,0,32,0,0,0,0,0,0,0,0,0,0
108,41,0,3,0,0,11,2,0,0,38,0,0,0,0,0,0,0,0,0,3
109,47,0,4,0,0,26,1,0,0,66,0,0,0,0,0,0,0,0,0,1
110,53,0,2,0,0,16,0,0,0,72,0,0,0,0,0,0,0,0,0,0
111,89,0,1,3,0,11,0,0,0,39,0,0,0,0,0,0,0,0,0,0
112,95,0,0,4,0,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0
113,50,0,0,2,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0
114,28,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,3
115,17,0,0,0,0,1,3,0,0,14,0,0,0,0,0,0,0,0,0,9
116,11,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,7
117,17,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3
118,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
119,14,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0
120,31,0,0,0,0,25,0,0,0,43,0,0,0,0,0,0,0,0,0,0
121,55,0,0,0,0,63,0,0,0,73,0,0,0,0,0,0,0,0,0,0
122,92,0,0,0,0,69,0,0,0,119,0,0,0,0,0,0,0,0,0,0
123,49,0,0,0,0,37,0,0,0,125,0,0,0,0,0,3,0,0,0,0
124,55,0,0,0,0,21,0,0,0,65,0,0,0,0,0,1,0,0,0,0
125,61,0,0,0,0,13,0,0,0,35,0,0,0,0,0,0,0,0,0,0
126,33,0,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,0
127,39,0,0,0,0,31,0,0,0,10,0,3,0,0,0,0,0,0,0,0
128,45,0,0,0,0,56,0,0,0,5,0,1,0,0,0,0,0,0,0,0
129,25,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,3,0,3,0
130,15,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,1,0,1,0
