x,y
1265,2.0000000000000044
1266,3.718281828459058
1267,8.389056098930684
1268,21.08553692318776
1269,55.59815003314449
1270,20.453416364359203
1271,7.524391382167297
1272,2.768068896826922
1508,2.0
1509,3.718281828459045
1510,8.38905609893065
1511,21.085536923187668
1512,55.598150033144236
1513,20.45341636435911
1514,7.524391382167263
1515,2.768068896826909
1585,1.1353352832366128
2023,2.0
2024,3.718281828459045
2025,8.38905609893065
2026,21.085536923187668
2027,55.598150033144236
2028,20.45341636435911
2029,7.524391382167263
2030,2.768068896826909
2387,2.0
2388,3.718281828459045
2389,8.38905609893065
2390,21.085536923187668
2391,55.598150033144236
2392,20.45341636435911
2393,7.524391382167263
2394,2.768068896826909
2406,1.137814035413279
2938,2.0
2939,3.718281828459045
2940,8.38905609893065
2941,21.085536923187668
2942,55.598150033144236
2943,20.45341636435911
2944,7.524391382167263
2945,2.768068896826909
3413,2.0000000000002545
3414,3.718281828459737
3415,8.389056098932532
3416,21.08553692319278
3417,55.59815003315813
3418,20.45341636436422
3419,7.524391382169143
3420,2.7680688968276006
3602,1.1353352832366133
3603,1.367879441171444
3604,2.0000000000000044
3607,1.270670566473226
3608,1.7357588823428864
3609,3.000000000000005
3610,6.4365636569181035
3611,15.778112197861335
3612,5.804443098089545
3613,6.804443098089545
3614,16.778112197861333
3615,43.889355674834476
3616,117.58535616521938
3617,317.91185512834153
3618,116.95323560639082
3619,43.02469095807108
3620,15.827899266229197
3621,5.822758736978279
3622,2.1420732302357024
3642,1.1406449519186381
3643,1.3823126170649302
3644,2.0392334397582212
3654,1.101527454683277
3655,1.275980235155251
3664,1.1726851465290555
3665,1.4694068958547193
4231,1.1353352832366128
4232,1.3678794411714423
4233,2.0
4234,3.718281828459045
4235,1.3678794411714423
4295,1.3687913231509021
4296,2.002478752214465
4297,3.7250197755608774
4298,8.407371738098679
4299,21.13532399231473
4300,7.775251179270121
4301,2.86035505879749
4313,1.142408692868716
4412,1.135351984937403
4413,1.3679248411012048
4414,2.000123409804087
4415,3.7186172910869484
4416,8.389967980896206
4417,3.0864967322583903
4418,1.1354586930406996
4712,1.1353352832366128
4713,1.3678794411714423
4714,2.0
4715,3.718281828459045
4716,1.3678794411714423
4723,1.1851223516044767
4724,1.5032147244080551
4725,2.3678794411714423
5868,2.0
5869,3.718281828459045
5870,8.38905609893065
5871,21.085536923187668
5872,55.598150033144236
5873,20.45341636435911
5874,7.524391382167263
5875,2.768068896826909
6350,2.0
6351,3.718281828459045
6352,8.38905609893065
6353,21.085536923187668
6354,55.598150033144236
6355,20.45341636435911
6356,7.524391382167263
6357,2.768068896826909
6360,1.3746173881705277
6361,2.018315638888734
6362,3.768068896826909
6363,8.524391382167263
6364,21.453416364359107
6365,7.892270823338705
6366,2.9034041800635215
6424,2.002481012506345
6425,3.7250259196712223
6426,8.407388439522183
6427,9.407388439522183
6428,23.853651219949796
6429,63.12266482513043
6430,169.86691092960396
6431,460.0278554079546
6432,169.2347903707754
6433,62.25800010836705
6434,22.903438288317663
6435,8.425704078410917
6436,3.0996433078417507
6437,1.1402950479196243
6548,1.3678794411714423
6549,2.0
6550,3.7182818284590455
6551,8.38905609893065
6552,21.085536923187668
6553,7.756935540102093
6554,2.8536171116956583
8765,2.0497870683678636
8766,3.8536171116956575
8767,8.756935540102091
8768,22.085536923187664
8769,58.31643186160328
8770,21.453416364359107
8771,7.892270823338705
8772,2.9034041800635215
8773,3.9034041800635215
8774,8.892270823338704
8775,22.453416364359107
8776,59.31643186160328
8777,159.52049702996626
8778,58.68431130277472
8779,21.58875164759572
8780,7.942057891706567
8781,2.9217198189522553
8846,1.1353352832373043
8952,1.1353352832366128
8953,1.3678794411714423
9023,1.1353352832366128
9024,1.3678794411714423
9025,2.0
9026,3.718281828459045
9027,1.3678794411714423
9028,2.3678794411714423
9029,4.718281828459045
9030,11.107337927389695
9031,28.47459302211832
9032,75.6836869563319
9033,27.84247246328976
9034,10.242673210626307
9035,3.7680688968269087
9036,4.768068896826909
9037,11.242673210626306
9038,28.842472463289756
9039,76.6836869563319
9040,206.72959096417986
9041,76.05156639750334
9042,27.977807746526373
9043,10.292460278994172
9044,3.7863845357156425
9045,1.3929330270592617
