word,frequency
mehr,4
andren,4
ganz,4
bevor,3
formen,3
worin,3
erst,3
andre,3
betrachtet,3
kraft,3
weniger,3
eignen,3
ewige,2
menschliche,2
leben,2
vermitteln,2
erster,2
abschnitt,2
dagegen,2
rolle,2
