word,frequency
kapital,27
geworfen,20
daher,19
befindlichen,17
entzogen,16
nachfrage,13
zeit,12
müssen,12
verkauft,12
bildet,11
befindet,11
mehr,10
beständig,10
deren,9
kaufen,9
andre,8
verkauf,8
verkaufen,8
gekauft,8
fertig,8
