word,frequency
kapital,284
daher,85
plus,59
worin,58
gleich,50
variablen,42
bildet,36
variable,34
darstellt,34
rate,31
ganz,30
wäre,27
überhaupt,27
variables,26
mehr,26
ganze,26
andren,25
statt,23
erzeugte,23
verwandelt,22
