word,frequency
kapital,6284
daher,244
variables,238
variable,213
konstantes,202
mehr,184
abschnitt,182
fixes,173
worin,159
teil,154
produktives,140
fünfter,139
konstante,137
verwandelt,134
soweit,132
fixem,122
ganz,118
statt,110
andre,107
konstantem,105
