word,frequency
erster,108
abschnitt,55
teil,54
kapital,20
zweiundzwanzigstes,14
preis,6
absoluter,5
relativer,5
vierzehntes,4
absoluten,2
macht,2
unterschied,2
kleiner,2
springt,2
falls,2
worin,2
fünfter,1
bildet,1
absolutem,1
relativem,1
