word,frequency
kapital,395
verwandelt,150
daher,102
mehr,89
kauft,80
abschnitt,78
zurück,70
worin,61
soweit,61
verkauf,60
erster,59
erst,56
andre,56
ganz,53
verkauft,53
andren,49
kaufen,47
beständig,43
kauf,43
vorgeschossen,43
