x,y
1265,2.0
1266,2.648721270700128
1267,3.718281828459045
1268,5.4816890703380645
1269,8.38905609893065
1508,2.0
1509,2.648721270700128
1510,3.718281828459045
1511,5.4816890703380645
1512,8.38905609893065
2023,2.0
2024,2.648721270700128
2025,3.718281828459045
2026,5.4816890703380645
2027,8.38905609893065
2387,2.0
2388,2.648721270700128
2389,3.718281828459045
2390,5.4816890703380645
2391,8.38905609893065
2938,2.0
2939,2.648721270700128
2940,3.718281828459045
2941,5.4816890703380645
2942,8.38905609893065
3413,2.0
3414,2.648721270700128
3415,3.718281828459045
3416,5.4816890703380645
3417,8.38905609893065
3616,1.6888191267055428
3617,2.135670745864515
4298,1.6065306689500831
4299,2.00000001522998
5868,2.0
5869,2.648721270700128
5870,3.718281828459045
5871,5.4816890703380645
5872,8.38905609893065
6350,2.0
6351,2.648721270700128
6352,3.718281828459045
6353,5.4816890703380645
6354,8.38905609893065
6424,2.00000001522998
6425,2.6487212958101196
6426,3.7182818698584224
6427,4.718281869858423
6428,7.130410409294226
6429,11.10733803992487
6430,17.664183216580675
6431,28.47459332802064
6432,3.8536171530950356
6551,1.6065306597126334
6552,2.0
8765,2.000123409804087
8766,2.6489247390691393
8767,3.718617291086948
8768,5.482242154708213
8769,8.389967980896206
9031,1.617639656250876
9032,2.018315638888734
9055,1.6067416496440219
9056,2.000347863587784
9065,2.0000202637110878
9066,2.6487546799116224
9067,3.7183369109366726
9068,5.481779885990572
9069,8.389205828628652
10648,2.0
10649,2.648721270700128
10650,3.718281828459045
10651,5.4816890703380645
10652,8.38905609893065
10653,9.38905609893065
10654,14.831215231403602
10655,23.803818751646713
10656,38.597141029030375
10657,62.987206132074895
10658,8.524391382167265
10659,9.524391382167265
10660,15.054345391552035
10661,24.17169819281816
10662,39.203671688743015
10663,63.9872061320749
10664,8.659726665403879
11926,1.6065306597126334
11927,2.0
11951,1.617640664946201
11952,2.0183173019461726
16844,2.0
16845,2.6487212707001286
16846,3.7182818284590455
16847,5.481689070338065
16848,8.389056098930652
26546,2.0
26547,2.648721270700128
26548,3.718281828459045
26549,5.4816890703380645
26550,8.38905609893065
26625,1.6065306598818232
26626,2.000000000278947
29362,1.6886156583365322
29363,2.1353352832366124
50021,2.0
50022,2.648721270700128
50023,3.718281828459045
50024,5.4816890703380645
50025,8.38905609893065
52167,2.0
52168,2.648721270700128
52169,3.718281828459045
52170,5.4816890703380645
52171,8.38905609893065
55237,1.6065306597126334
55238,2.0
58435,2.0
58436,2.648721270700128
58437,3.718281828459045
58438,5.4816890703380645
58439,8.38905609893065
59631,2.000000000013888
59632,2.6487212707230254
59633,3.7182818284967967
59634,5.481689070400306
59635,8.389056099033269
62189,1.6065306597126334
62190,2.0
62253,2.135335283236613
62254,2.871851430848558
62255,4.086161269630487
62256,6.088219730050699
62257,9.389056098930652
62263,1.770700656960431
62264,2.2706705664732256
62265,3.2706705664732256
62266,4.743702861697116
62267,7.172322539260976
62268,11.176439460101397
62269,17.778112197861304
62270,2.406005849709839
65972,2.0
65973,2.648721270700128
65974,3.718281828459045
65975,5.4816890703380645
65976,8.38905609893065
66284,2.0
66285,2.648721270700128
66286,3.718281828459045
66287,5.4816890703380645
66288,8.38905609893065
69797,2.0
69798,2.648721270700128
69799,3.718281828459045
69800,5.4816890703380645
69801,8.38905609893065
73164,1.6065306597126334
73165,2.0
85950,2.0
85951,2.648721270700128
85952,3.718281828459045
85953,5.4816890703380645
85954,8.38905609893065
90253,2.0
90254,2.648721270700128
90255,3.718281828459045
90256,5.4816890703380645
90257,8.38905609893065
114164,2.0
114165,2.648721270700128
114166,3.718281828459045
114167,5.4816890703380645
114168,8.38905609893065
115109,2.0
115110,2.648721270700128
115111,3.718281828459045
115112,5.4816890703380645
115113,8.38905609893065
116979,2.000000000003099
116980,2.6487212707052374
116981,3.7182818284674686
116982,5.481689070351953
116983,8.389056098953548
125244,1.6065306597126334
125245,2.0
125249,1.7357588823428847
125250,2.213061319425267
125251,3.0
126193,1.6065307279915646
126194,2.000000112572926
131699,2.0
131700,2.648721270700128
131701,3.718281828459045
131702,5.4816890703380645
131703,8.38905609893065
140677,1.6065581963540714
140678,2.0000454002464623
141820,2.0
141821,2.648721270700128
141822,3.718281828459045
141823,5.4816890703380645
141824,8.38905609893065
147728,2.0
147729,2.648721270700128
147730,3.718281828459045
147731,5.4816890703380645
147732,8.38905609893065
154281,1.6065306597126334
154282,2.0
154336,2.0000000682560337
154337,2.648721383235303
154338,3.718282013998181
154339,5.481689376240385
154340,8.389056603278313
186188,2.0
186189,2.648721270700128
186190,3.718281828459045
186191,5.4816890703380645
186192,8.38905609893065
188031,2.0
188032,2.648721270700128
188033,3.718281828459045
188034,5.4816890703380645
188035,8.38905609893065
188737,2.0
188738,2.648721270700128
188739,3.718281828459045
188740,5.4816890703380645
188741,8.38905609893065
190650,2.0
190651,2.648721270700128
190652,3.718281828459045
190653,5.4816890703380645
190654,8.38905609893065
192320,2.0
192321,2.648721270700128
192322,3.718281828459045
192323,5.4816890703380645
192324,8.38905609893065
192326,2.135335283236613
192327,2.871851430848558
192328,4.086161269630487
192329,6.088219730050699
192330,9.389056098930652
192331,10.389056098930652
192332,16.479936502103733
192333,26.52210058010576
192334,43.078830099368446
192335,70.37626223100555
192336,9.524391382167266
194416,1.6065343863658055
194417,2.000006144212353
195713,2.0000000000006914
195714,2.648721270701268
195715,3.648721270701268
195716,5.367003099161053
195717,8.19997089880021
195718,9.19997089880021
195719,14.519466439973954
195720,23.289831888101595
195721,37.7497199542431
195722,61.59004498083354
195723,8.335306182036824
195729,1.6842035964822677
195730,2.1280610230098422
196466,2.0
196467,2.648721270700128
196468,3.718281828459045
196469,5.4816890703380645
196470,8.38905609893065
196531,1.6065306597126334
196532,2.0
196574,2.000000000000001
196575,2.64872127070013
196576,3.718281828459048
196577,5.48168907033807
196578,8.38905609893066
196596,2.000019267932518
196597,2.6487530381503124
196598,3.71833420412988
196599,5.481775423220637
196600,8.389198470764935
197754,2.0
197755,2.6487212707001286
197756,3.7182818284590455
197757,5.481689070338065
197758,8.389056098930652
198138,2.0497870683678636
198139,2.730806269324027
198140,3.8536171116956575
198141,5.7048192304864935
198142,6.7048192304864935
198143,10.405656810802219
198144,16.50730644887515
198145,26.567225993525724
198146,43.153229328323086
198147,5.840154513723107
198207,1.6065306597126334
198208,2.0
198538,2.0
198539,2.648721270700128
198540,3.718281828459045
198541,5.4816890703380645
198542,8.38905609893065
198674,1.6065306597126334
198675,2.0
199485,2.000000831528719
199486,2.648722641659215
199487,3.7182840887884523
199488,5.481692796991237
199489,8.389062243143005
202046,2.0
202047,2.648721270700128
202048,3.718281828459045
202049,5.4816890703380645
202050,8.38905609893065
202305,1.6065306597126334
202306,2.0
202310,1.7357588823428847
202311,2.213061319425267
202312,3.0
202564,1.6065306597126334
202565,2.0
206421,2.0002034683690106
206422,2.6490567333280306
206423,3.718834912829193
206424,5.482600952303619
206425,8.390559538123629
209194,2.0820849986238987
209195,2.7840565539367406
209196,3.9414119886074745
209197,5.849568511509506
209198,8.995586758643284
215223,2.0
215224,2.648721270700128
215225,3.718281828459045
215226,5.4816890703380645
215227,8.38905609893065
218785,2.0
218786,2.648721270700128
218787,3.718281828459045
